groupMetadataID,latitudeStdDev,longitude,time,latitude,longitudeStdDev,numSatsInSolution
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.024324747,-82.0997086125379,1699388130049687054,39.36746305600412,0.026775692,11
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.020415537,-82.09960780575653,1699388131051261852,39.3676129022767,0.019003881,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.023330484,-82.09950362050387,1699388132054637629,39.36775909449756,0.018420642,12
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.023689125,-82.09938950420866,1699388133047138428,39.367898823495665,0.01821711,13
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.03456829,-82.09926628653842,1699388134049856194,39.368032844816724,0.02402592,12
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.026463885,-82.09913134450844,1699388135048590471,39.36816073299544,0.019426458,12
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.021822298,-82.09898907721812,1699388136047046342,39.36828715525337,0.016173605,13
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.019035425,-82.09883661273786,1699388137056791752,39.368408713851494,0.013855966,12
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.01994755,-82.0986722865156,1699388138058915107,39.368522801664525,0.014595804,12
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.0202974,-82.09849859388216,1699388139046175869,39.36862925575168,0.01468903,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.022206014,-82.09831703195462,1699388140055829408,39.36872622125283,0.01921925,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.023580622,-82.0981268037755,1699388141063517436,39.36881575103963,0.018806648,8
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.027759701,-82.09792246421888,1699388142056243883,39.368898007503546,0.020381654,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.027344085,-82.09770649854974,1699388143046037182,39.368973555131646,0.01958323,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.027093384,-82.09748285968162,1699388144048960138,39.36904789664351,0.018991467,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.027684534,-82.09725341275617,1699388145046037577,39.369123305369236,0.019075496,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.027062083,-82.0970198929592,1699388146045563371,39.36919847107681,0.01876075,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.022424603,-82.09678184536529,1699388147048726215,39.36927536614041,0.015350362,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.022494452,-82.09653884415593,1699388148051737578,39.36935324896445,0.015502331,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.021157863,-82.096294945785,1699388149046952361,39.369431233232596,0.01504208,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.03199754,-82.09605244378267,1699388150050278984,39.369508861863,0.017829668,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.027290186,-82.09581106791659,1699388151050056234,39.36958531036551,0.016368119,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.024669666,-82.09557449428367,1699388152056772942,39.36966192224508,0.015896123,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.022651637,-82.09535150580011,1699388153057729333,39.36973686002338,0.01547566,9
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.022619786,-82.09514698332657,1699388154054539869,39.36981213644019,0.015723873,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.021646235,-82.09496204753259,1699388155047596892,39.369895979780445,0.015453064,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.023212176,-82.0948010137355,1699388156057044309,39.36999356968585,0.016388608,10
5230b9be-f083-11ee-b9b8-fb353e7798cd,0.02217297,-82.09466779308366,1699388157051759252,39.370110493993764,0.019067477,11
